longitude,latitude
-1.017029100000000019e+00,5.206365819999999900e+01
-1.017072900000000057e+00,5.206363660000000237e+01
-1.017126299999999928e+00,5.206361530000000215e+01
-1.017195199999999966e+00,5.206359530000000291e+01
-1.017275300000000104e+00,5.206357330000000161e+01
-1.017339299999999946e+00,5.206355810000000162e+01
-1.017411499999999913e+00,5.206354549999999648e+01
-1.017480099999999998e+00,5.206353440000000177e+01
-1.017571100000000062e+00,5.206352520000000084e+01
-1.017635000000000067e+00,5.206352150000000023e+01
-1.017696900000000015e+00,5.206351850000000070e+01
-1.017752699999999955e+00,5.206351680000000215e+01
-1.017824099999999898e+00,5.206351730000000089e+01
-1.017935299999999987e+00,5.206352309999999761e+01
-1.018017399999999961e+00,5.206353210000000331e+01
-1.018095299999999925e+00,5.206354540000000242e+01
-1.018170999999999937e+00,5.206355990000000133e+01
-1.018244600000000055e+00,5.206357700000000222e+01
-1.018323799999999890e+00,5.206359729999999786e+01
-1.018414600000000059e+00,5.206362639999999686e+01
-1.018486599999999909e+00,5.206365350000000092e+01
-1.018551999999999902e+00,5.206368290000000343e+01
-1.018594800000000022e+00,5.206370309999999790e+01
-1.018635600000000085e+00,5.206372569999999911e+01
-1.018688000000000038e+00,5.206375669999999900e+01
-1.018730300000000089e+00,5.206378120000000109e+01
-1.018775399999999998e+00,5.206381499999999818e+01
-1.018811499999999981e+00,5.206384320000000088e+01
-1.018850500000000103e+00,5.206387769999999904e+01
-1.018894900000000048e+00,5.206392050000000182e+01
-1.018926900000000080e+00,5.206395510000000115e+01
-1.018966100000000097e+00,5.206400510000000281e+01
-1.019009400000000065e+00,5.206407130000000194e+01
-1.019047400000000048e+00,5.206413249999999948e+01
-1.019087499999999924e+00,5.206418779999999913e+01
-1.019127300000000069e+00,5.206424559999999957e+01
-1.019167799999999957e+00,5.206429500000000132e+01
-1.019208300000000067e+00,5.206434370000000200e+01
-1.019248300000000107e+00,5.206439040000000062e+01
-1.019296699999999944e+00,5.206444729999999765e+01
-1.019348900000000002e+00,5.206450410000000062e+01
-1.019412800000000008e+00,5.206457209999999947e+01
-1.019492599999999971e+00,5.206465219999999761e+01
-1.019692700000000007e+00,5.206484110000000243e+01
-1.019756499999999955e+00,5.206490000000000151e+01
-1.019835300000000000e+00,5.206496899999999783e+01
-1.019943999999999962e+00,5.206506009999999662e+01
-1.020010800000000106e+00,5.206511210000000034e+01
-1.020069899999999974e+00,5.206515910000000247e+01
-1.020142099999999941e+00,5.206521430000000095e+01
-1.020210000000000061e+00,5.206526120000000191e+01
-1.020376200000000066e+00,5.206537469999999956e+01
-1.020447700000000069e+00,5.206541810000000226e+01
-1.020920400000000061e+00,5.206572630000000146e+01
-1.021249499999999921e+00,5.206595469999999892e+01
-1.021766299999999905e+00,5.206633229999999912e+01
-1.021982399999999958e+00,5.206648930000000064e+01
-1.022028099999999995e+00,5.206651740000000217e+01
-1.022081000000000017e+00,5.206653899999999879e+01
-1.022132500000000110e+00,5.206655179999999916e+01
-1.022198200000000057e+00,5.206655539999999860e+01
-1.022260600000000075e+00,5.206654989999999827e+01
-1.022319399999999989e+00,5.206653879999999646e+01
-1.022376200000000068e+00,5.206652100000000161e+01
-1.022432999999999925e+00,5.206649279999999891e+01
-1.022755899999999940e+00,5.206629339999999928e+01
-1.022785000000000055e+00,5.206627950000000027e+01
-1.022839700000000018e+00,5.206625650000000149e+01
-1.022915299999999972e+00,5.206624020000000286e+01
-1.023015800000000031e+00,5.206623090000000076e+01
-1.023053500000000060e+00,5.206623119999999716e+01
-1.023109700000000011e+00,5.206623199999999940e+01
-1.023179099999999897e+00,5.206624140000000267e+01
-1.023240600000000056e+00,5.206625669999999673e+01
-1.023298999999999959e+00,5.206627559999999733e+01
-1.023366699999999963e+00,5.206630870000000044e+01
-1.023452599999999935e+00,5.206636110000000173e+01
-1.023583399999999921e+00,5.206644579999999678e+01
-1.023702700000000076e+00,5.206653109999999884e+01
-1.023812399999999956e+00,5.206661569999999983e+01
-1.023847399999999963e+00,5.206664430000000010e+01
-1.023933600000000110e+00,5.206672369999999717e+01
-1.024001099999999997e+00,5.206679840000000326e+01
-1.024084100000000053e+00,5.206689699999999732e+01
-1.024157900000000065e+00,5.206700250000000096e+01
-1.024217900000000014e+00,5.206711130000000054e+01
-1.024256800000000078e+00,5.206719859999999755e+01
-1.024292399999999992e+00,5.206729099999999733e+01
-1.024303600000000092e+00,5.206733539999999749e+01
-1.024315400000000098e+00,5.206737979999999766e+01
-1.024329100000000103e+00,5.206745229999999935e+01
-1.024323300000000048e+00,5.206751580000000246e+01
-1.024309099999999972e+00,5.206756779999999907e+01
-1.024283000000000055e+00,5.206761339999999905e+01
-1.024246900000000071e+00,5.206765120000000024e+01
-1.024193899999999990e+00,5.206769560000000041e+01
-1.024079299999999915e+00,5.206778429999999958e+01
-1.024060200000000087e+00,5.206779970000000191e+01
