track_point_id,circuit_id,point_index,distance_m,step_m,x_m,y_m,heading_rad,curvature_1pm,classification,sector_id,is_synthetic,is_derived,data_source
10100140,101,140,700.0,5.0,511.9771846612353,375.35082721858896,0.2513542879612044,0.006563411293625309,corner,1011,False,True,OSM-derived smoothed centreline
10100141,101,141,705.0,5.0,516.8043264462623,376.6538308170865,0.2726367345232861,0.0026987429522166316,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100142,101,142,710.0,5.0,521.6102259515269,378.03328949382455,0.28755096084263665,0.003995860706830273,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100143,101,143,715.0,5.0,526.3864022049287,379.5119895794158,0.3156082081468186,0.007147443174580778,corner,1011,False,True,OSM-derived smoothed centreline
10100144,101,144,720.0,5.0,531.1078100544979,381.1566799925327,0.356009510481916,0.00859711271863542,corner,1011,False,True,OSM-derived smoothed centreline
10100145,101,145,725.0,5.0,535.755961468398,382.99819671148197,0.39770185322519613,0.0077658389599180805,corner,1011,False,True,OSM-derived smoothed centreline
10100146,101,146,730.0,5.0,540.3299408118224,385.01718719597284,0.4323354270096442,0.0062369596579106516,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100147,101,147,735.0,5.0,544.8363370547294,387.18291276597273,0.4644538555848821,0.007171515819664089,corner,1011,False,True,OSM-derived smoothed centreline
10100148,101,148,740.0,5.0,549.260295899024,389.5120671515364,0.506947618169084,0.009694200688825151,corner,1011,False,True,OSM-derived smoothed centreline
10100149,101,149,745.0,5.0,553.5689057095341,392.04796795757426,0.5571212651525005,0.009867996849200639,corner,1011,False,True,OSM-derived smoothed centreline
10100150,101,150,750.0,5.0,557.749606913267,394.7898010476218,0.602240075081123,0.008019008959322513,corner,1011,False,True,OSM-derived smoothed centreline
10100151,101,151,755.0,5.0,561.8176077181303,397.69651604929686,0.6366830111774514,0.005742466497144532,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100152,101,152,760.0,5.0,565.8005147806521,400.71899581385617,0.6597734393347109,0.0035432291673538198,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100153,101,153,765.0,5.0,569.7284733162714,403.8126642308977,0.6731981627740149,0.0019926559768517938,fast_corner,1011,False,True,OSM-derived smoothed centreline
10100154,101,154,770.0,5.0,573.6241054713349,406.94697735147787,0.6813626618510291,0.0014000686158501879,straight,1011,False,True,OSM-derived smoothed centreline
10100155,101,155,775.0,5.0,577.4971934124802,410.1091135917868,0.6878622836715068,0.0012227616611377274,straight,1011,False,True,OSM-derived smoothed centreline
10100156,101,156,780.0,5.0,581.3508292034251,413.2949296543646,0.6936595193913918,0.0010971525131238961,straight,1011,False,True,OSM-derived smoothed centreline
10100157,101,157,785.0,5.0,585.1869299844511,416.50184050460825,0.6988361607720945,0.0009735641266012914,straight,1011,False,True,OSM-derived smoothed centreline
10100158,101,158,790.0,5.0,589.0073751614628,419.7273880655436,0.7033957412990223,0.0008503258469741547,straight,1011,False,True,OSM-derived smoothed centreline
10100159,101,159,795.0,5.0,592.8140723595037,422.9691507535059,0.707339980825946,0.0007274244364976755,straight,1011,False,True,OSM-derived smoothed centreline
10100160,101,160,800.0,5.0,596.6089539740439,426.2247384642057,0.7106705034163684,0.0006048334352517766,straight,1011,False,True,OSM-derived smoothed centreline
10100161,101,161,805.0,5.0,600.3939729995387,429.49178853917687,0.7133887677575453,0.00048251355680276975,straight,1011,False,True,OSM-derived smoothed centreline
10100162,101,162,810.0,5.0,604.1710991795895,432.76796144842007,0.7154960087291107,0.0003604149557965223,straight,1011,False,True,OSM-derived smoothed centreline
10100163,101,163,815.0,5.0,607.9423154282315,436.05093624483453,0.716993190141293,0.0002384794291802205,straight,1011,False,True,OSM-derived smoothed centreline
10100164,101,164,820.0,5.0,611.7096144695344,439.33840584123664,0.7178809683324051,0.0001166425592167508,straight,1011,False,True,OSM-derived smoothed centreline
10100165,101,165,825.0,5.0,615.4749956409652,442.6280721568712,0.7181596663656082,-5.164188825436765e-06,straight,1011,False,True,OSM-derived smoothed centreline
10100166,101,166,830.0,5.0,619.2404618047657,445.91764117737614,0.717829258641104,-0.00012701139694382246,straight,1011,False,True,OSM-derived smoothed centreline
10100167,101,167,835.0,5.0,623.0080163108069,449.20481797021125,0.7168893658115361,-0.00024896964122055076,straight,1011,False,True,OSM-derived smoothed centreline
10100168,101,168,840.0,5.0,626.7796599539563,452.4873016966509,0.7153392599888228,-0.0003711074272969692,straight,1011,False,True,OSM-derived smoothed centreline
10100169,101,169,845.0,5.0,630.5573878688757,455.76278066157107,0.7131778803088031,-0.0004934891066171282,straight,1011,False,True,OSM-derived smoothed centreline
10100170,101,170,850.0,5.0,634.3431863053812,459.0289274434529,0.7104038590147567,-0.0006161727522113765,straight,1011,False,True,OSM-derived smoothed centreline
