drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
143,72,1.69631301591,7.72304132569,100,530,62.7925174159,77.5522072638,2,12,3,2,3,1,20260917,setup_sweep
144,72,35.6157717625,41.7984266074,1650,2020,42.4688506987,72.7461625025,2,12,3,2,3,1,20260917,setup_sweep
145,73,0.74939770294,4.20175386088,60,340,80.1832696678,83.5414756925,3,1,1,2,1,1,20260917,setup_sweep
146,73,18.4318120152,22.2990445075,1370,1640,63.1856876278,76.1507275704,3,1,1,2,1,1,20260917,setup_sweep
147,74,0.730511774945,4.04901083849,60,340,82.3289908575,86.0389606825,3,1,2,2,1,1,20260917,setup_sweep
148,74,18.6125185224,22.5549551511,1370,1640,60.1358837174,76.1208660472,3,1,2,2,1,1,20260917,setup_sweep
149,75,0.757772647147,3.14633651038,60,250,79.3699953734,82.2059379379,3,1,3,2,3,1,20260917,setup_sweep
150,75,22.8088667135,27.0989645683,1370,1640,52.3293897088,72.6820221079,3,1,3,2,3,1,20260917,setup_sweep
151,76,0.75601618026,4.23891085726,60,340,79.4707223899,82.7896722828,3,2,1,2,1,1,20260917,setup_sweep
152,76,18.5847349553,22.470940353,1370,1640,62.8764641421,75.7342312733,3,2,1,2,1,1,20260917,setup_sweep
153,77,0.776428170953,4.12253983872,60,340,81.6561049859,85.3122157166,3,2,2,2,1,1,20260917,setup_sweep
154,77,18.8132024803,22.7755920011,1370,1640,59.7727845212,75.7322853346,3,2,2,2,1,1,20260917,setup_sweep
155,78,0.764192949796,3.17293944639,60,250,78.6922758626,81.4996713564,3,2,3,2,3,1,20260917,setup_sweep
156,78,23.0202865751,27.338835745,1370,1640,51.7645209197,72.2735938311,3,2,3,2,3,1,20260917,setup_sweep
157,79,0.78570982786,4.36192639727,60,340,76.4403689788,79.7112952102,3,3,1,2,1,1,20260917,setup_sweep
158,79,19.3793249948,23.3984084544,1370,1640,60.1504825498,73.4779332346,3,3,1,2,1,1,20260917,setup_sweep
159,80,0.762772624105,4.26983223395,60,340,78.7962203622,82.3020376528,3,3,2,2,1,1,20260917,setup_sweep
160,80,19.585943783,23.6466640634,1370,1640,57.9545257646,73.9489079264,3,3,2,2,1,1,20260917,setup_sweep
161,81,0.79518668445,3.12962655008,60,240,75.6162839536,78.354752259,3,3,3,2,3,1,20260917,setup_sweep
162,81,24.0083136279,28.3925165075,1370,1640,51.0044979267,70.9100629959,3,3,3,2,3,1,20260917,setup_sweep
163,82,0.730460299573,4.05017129508,60,340,82.3232286861,85.9863765554,3,4,1,2,1,1,20260917,setup_sweep
164,82,18.3574149965,22.2630110107,1370,1640,61.2222033759,76.4779896215,3,4,1,2,1,1,20260917,setup_sweep
165,83,0.713065833724,3.94609688542,60,340,84.4019503228,88.4329049291,3,4,2,2,1,1,20260917,setup_sweep
166,83,18.9354377769,22.8951770959,1370,1640,58.9107152617,76.6016924407,3,4,2,2,1,1,20260917,setup_sweep
167,84,0.777540539959,4.2720609964,60,340,77.7623887596,83.6973074621,3,4,3,2,3,1,20260917,setup_sweep
168,84,23.6348131043,27.9231758784,1370,1640,51.5977045391,73.3885291692,3,4,3,2,3,1,20260917,setup_sweep
169,85,0.788982245098,4.38477859,60,340,76.0951088749,79.2163517178,3,5,1,2,1,1,20260917,setup_sweep
170,85,18.9779405811,22.8965900519,1370,1640,63.3399877291,74.2276404273,3,5,1,2,1,1,20260917,setup_sweep
171,86,0.76621751968,4.29259818943,60,340,78.4185117755,81.7928254514,3,5,2,2,1,1,20260917,setup_sweep
172,86,19.1423660352,23.1332716865,1370,1640,60.179783916,74.4000848411,3,5,2,2,1,1,20260917,setup_sweep
173,87,0.796147823674,3.39400044972,60,260,75.4744796514,78.2255837299,3,5,3,2,3,1,20260917,setup_sweep
174,87,22.8411504616,27.1885219684,1370,1640,52.2720861768,70.9592878512,3,5,3,2,3,1,20260917,setup_sweep
175,88,0.718170017837,3.97996405926,60,340,83.7626283396,87.5519469147,3,6,1,2,1,1,20260917,setup_sweep
176,88,18.1507194343,22.0381463142,1370,1640,61.2676600856,77.0952452961,3,6,1,2,1,1,20260917,setup_sweep
177,89,0.702076068482,3.88262712368,60,340,85.7556729609,89.9447522601,3,6,2,2,1,1,20260917,setup_sweep
178,89,18.8170797305,22.7623434637,1370,1640,58.9030305867,77.1308660672,3,6,2,2,1,1,20260917,setup_sweep
179,90,0.770859624849,4.22569695065,60,340,78.5058073665,84.8302969748,3,6,3,2,3,1,20260917,setup_sweep
180,90,23.6547211341,27.9435894117,1370,1640,51.1351660246,73.7893497133,3,6,3,2,3,1,20260917,setup_sweep
181,91,0.747603509739,4.18910251112,60,340,80.3940120568,83.8471151778,3,7,1,2,1,1,20260917,setup_sweep
182,91,18.6349551982,22.5534001579,1370,1640,61.5422914857,75.7360623189,3,7,1,2,1,1,20260917,setup_sweep
183,92,0.728609214658,4.03628606821,60,340,82.5597619504,86.3552025961,3,7,2,2,1,1,20260917,setup_sweep
184,92,18.8038936204,22.7850775851,1370,1640,58.8967279137,75.8473090043,3,7,2,2,1,1,20260917,setup_sweep
