scenario_id,name,pressure_pa,temperature_k,grip,headwind_mps,crosswind_mps,aero_multiplier,density_multiplier,height_offset_m,baseline_lap_s,candidate_lap_s,delta_s,feasible,error,circuit_id
135,Dry,101325,288.15,1.00289636303,-2.49225001593,-1.0324790837,1.00616045524,0.988861720332,-0.000871854683596,38.9718483678,38.8658372341,-0.10601113378,True,,2
136,Dry,101325,288.15,0.961895972764,-3.77421615357,1.17065781144,0.993585301051,1.0135480935,-8.7306452782e-05,39.9764038726,40.0197041068,0.0433002341547,True,,2
137,Dry,101325,288.15,0.956363763337,3.9920995441,0.31023812895,1.04510444674,0.992473998036,-0.00188599975291,38.7624078165,38.1906638262,-0.571743990245,True,,2
138,Dry,101325,288.15,1.00156297957,0.10384892658,-0.133729068673,1.00765542499,1.00505100007,0.000286735840832,38.6133093518,38.1533694242,-0.459939927647,True,,2
139,Dry,101325,288.15,1.02951202091,-0.374219071899,0.55158167917,1.00425831887,0.982366059804,-0.00109242466335,38.3278644279,37.9040712312,-0.423793196695,True,,2
140,Dry,101325,288.15,0.985483903791,4.87945555334,0.569160161696,0.971619577578,1.01894297501,5.82548975683e-05,38.3577849082,37.6955769755,-0.662207932738,True,,2
141,Dry,101325,288.15,0.999283454502,3.5743807471,1.14045182035,1.0476291155,0.995250928206,-0.000428719898781,38.2518840421,37.6391758235,-0.612708218547,True,,2
142,Dry,101325,288.15,1.00130865388,2.89755541992,1.34151205307,1.04939024847,0.997735591678,0.00157290021367,38.3261228494,37.6683070547,-0.657815794634,True,,2
143,Dry,101325,288.15,1.01765365364,3.62434820148,0.267813669707,1.04090179508,0.996801016671,0.00141617100754,38.0386879945,37.376863185,-0.661824809491,True,,2
144,Dry,101325,288.15,1.01547739646,-0.814318880698,1.49482218375,1.03367128395,0.993523753193,0.000349608040104,38.5386051415,38.0776627075,-0.460942434015,True,,2
145,Dry,101325,288.15,0.981288207667,1.19599674473,1.87779433456,0.969321623957,1.00670698117,-0.00126903112852,38.8964245072,38.6136382205,-0.282786286763,True,,2
146,Dry,101325,288.15,1.04842041599,4.16069723562,-1.06734341382,0.985138608827,0.985681621411,-0.00135953417533,37.638972071,37.0832630262,-0.555709044799,True,,2
147,Dry,101325,288.15,0.984524131578,3.44517483524,-1.68572370884,1.02424907185,1.01601211475,-0.00190931903253,38.4533273691,37.8840880178,-0.569239351252,True,,2
148,Dry,101325,288.15,0.993579562629,4.89224091948,0.490841825832,0.955023759817,0.99182490884,0.0011886378813,38.3105066251,37.6843766995,-0.626129925628,True,,2
149,Dry,101325,288.15,0.957148086826,-4.21401961994,0.338460176304,0.98122650631,0.995855423749,-0.000629944067577,40.3948990507,40.4602770868,0.0653780360456,True,,2
150,Dry,101325,288.15,1.04650162882,2.42120188826,-1.07008045348,1.04053161585,1.01541945901,-0.0014787528713,37.7338654097,37.1298444398,-0.604020969915,True,,2
151,Dry,101325,288.15,1.0460460784,-1.48354309984,-0.471950532931,1.0104730437,0.98020428703,-0.00184680558136,38.2431390568,37.8579976479,-0.385141408909,True,,2
152,Dry,101325,288.15,1.0041932071,2.83538955287,1.73738470662,1.03025801878,1.00225792206,-9.94825008306e-05,38.2865213541,37.684392655,-0.602128699075,True,,2
153,Dry,101325,288.15,1.00477752489,-4.31057043883,-0.689655188851,1.02424029544,0.985678685422,0.00068588859962,39.1893659653,39.1679569825,-0.0214089827428,True,,2
154,Dry,101325,288.15,1.01051994598,-4.47071622611,0.723044242731,1.00764540544,0.982133768739,-0.000204838273599,39.2115891114,39.2635147797,0.0519256682582,True,,2
155,Dry,101325,288.15,1.03157107045,-0.0285390165605,-1.08176477641,0.991061900215,0.991776686803,0.00122660951528,38.3099832288,37.7807795831,-0.5292036457,True,,2
156,Dry,101325,288.15,0.998027144743,-1.46206745735,-1.24596200452,1.03354874839,0.985041580363,-0.00141716363921,38.9273348486,38.6496079118,-0.277726936727,True,,2
157,Dry,101325,288.15,1.02106159906,1.82090147497,1.48615902928,1.02447371949,1.017183546,0.000819479029582,38.1737350988,37.5615063656,-0.612228733208,True,,2
158,Dry,101325,288.15,1.01855997118,-0.857511839334,0.253360461591,0.955275523501,1.01282798237,-0.0014074981918,38.601419611,38.4150747827,-0.186344828276,True,,2
159,Dry,101325,288.15,0.99046200496,-4.19640244184,-1.84820507964,1.03146718029,1.00964106364,-0.000346119567915,39.3224477602,39.2854253062,-0.0370224539987,True,,2
